"","Unique_Id_Fin","tBodyAcc-mean()-X","tBodyAcc-mean()-Y","tBodyAcc-mean()-Z","tGravityAcc-mean()-X","tGravityAcc-mean()-Y","tGravityAcc-mean()-Z","tBodyAccJerk-mean()-X","tBodyAccJerk-mean()-Y","tBodyAccJerk-mean()-Z","tBodyGyro-mean()-X","tBodyGyro-mean()-Y","tBodyGyro-mean()-Z","tBodyGyroJerk-mean()-X","tBodyGyroJerk-mean()-Y","tBodyGyroJerk-mean()-Z","tBodyAccMag-mean()","tGravityAccMag-mean()","tBodyAccJerkMag-mean()","tBodyGyroMag-mean()","tBodyGyroJerkMag-mean()","fBodyAcc-mean()-X","fBodyAcc-mean()-Y","fBodyAcc-mean()-Z","fBodyAcc-meanFreq()-X","fBodyAcc-meanFreq()-Y","fBodyAcc-meanFreq()-Z","fBodyAccJerk-mean()-X","fBodyAccJerk-mean()-Y","fBodyAccJerk-mean()-Z","fBodyAccJerk-meanFreq()-X","fBodyAccJerk-meanFreq()-Y","fBodyAccJerk-meanFreq()-Z","fBodyGyro-mean()-X","fBodyGyro-mean()-Y","fBodyGyro-mean()-Z","fBodyGyro-meanFreq()-X","fBodyGyro-meanFreq()-Y","fBodyGyro-meanFreq()-Z","fBodyAccMag-mean()","fBodyAccMag-meanFreq()","fBodyBodyAccJerkMag-mean()","fBodyBodyAccJerkMag-meanFreq()","fBodyBodyGyroMag-mean()","fBodyBodyGyroMag-meanFreq()","fBodyBodyGyroJerkMag-mean()","fBodyBodyGyroJerkMag-meanFreq()","tBodyAcc-std()-X","tBodyAcc-std()-Y","tBodyAcc-std()-Z","tGravityAcc-std()-X","tGravityAcc-std()-Y","tGravityAcc-std()-Z","tBodyAccJerk-std()-X","tBodyAccJerk-std()-Y","tBodyAccJerk-std()-Z","tBodyGyro-std()-X","tBodyGyro-std()-Y","tBodyGyro-std()-Z","tBodyGyroJerk-std()-X","tBodyGyroJerk-std()-Y","tBodyGyroJerk-std()-Z","tBodyAccMag-std()","tGravityAccMag-std()","tBodyAccJerkMag-std()","tBodyGyroMag-std()","tBodyGyroJerkMag-std()","fBodyAcc-std()-X","fBodyAcc-std()-Y","fBodyAcc-std()-Z","fBodyAccJerk-std()-X","fBodyAccJerk-std()-Y","fBodyAccJerk-std()-Z","fBodyGyro-std()-X","fBodyGyro-std()-Y","fBodyGyro-std()-Z","fBodyAccMag-std()","fBodyBodyAccJerkMag-std()","fBodyBodyGyroMag-std()","fBodyBodyGyroJerkMag-std()"
"1","LAYING 1",0.22159824394,-0.0405139534294,-0.11320355358,-0.24888179828,0.70554977346,0.4458177198,0.0810865342,0.0038382040088,0.010834236361,-0.016553093978,-0.064486124088,0.14868943626,-0.107270949192,-0.04151728689,-0.0740501211,-0.8419291525,-0.8419291525,-0.9543962646,-0.874759548,-0.96346103,-0.9390990524,-0.86706520518,-0.8826668762,-0.158792670508,0.097534841586,0.08943765522,-0.9570738838,-0.9224626098,-0.9480609042,0.132419092398,0.024513618956,0.02438794528,-0.850249174586,-0.9521914948,-0.909302721,-0.003546795856,-0.091529130882,0.01045812566,-0.8617676481,0.08640856294,-0.9333003608,0.26639115416,-0.8621901854,-0.1397750127,-0.9423669466,0.17648590708,-0.9280564692,-0.83682740562,-0.826061401628,-0.8968300184,-0.90772000676,-0.85236629022,-0.958482112,-0.9241492736,-0.9548551108,-0.87354386782,-0.9510904402,-0.9082846626,-0.9186085208,-0.9679072436,-0.9577901596,-0.79514486386,-0.79514486386,-0.9282456284,-0.81901016976,-0.9358409828,-0.9244374346,-0.8336255561,-0.81289155944,-0.9641607086,-0.9322178704,-0.9605869872,-0.8822964508,-0.9512320494,-0.9165825082,-0.7983009404,-0.9218039756,-0.82431943968,-0.9326606676
"2","LAYING 10",0.280592535054054,-0.0182794762851351,-0.11863147737027,0.521485205,0.344662792459459,0.0743798388027027,0.0789777950783784,0.0159228797490541,-0.00725065347162162,-0.0488754560337838,-0.0655041538036892,0.0843277257912162,-0.0775886943527027,-0.0544574047743243,-0.0480095882405405,-0.457347898755405,-0.457347898755405,-0.566162330731892,-0.522038332272973,-0.754015759864865,-0.482461969189189,-0.564416535428378,-0.631229944216216,-0.201654004101351,0.121068427591892,0.173443382278378,-0.504581342514865,-0.620158113425676,-0.717244334054054,-0.0347877187378378,-0.0812301932027027,0.0141939188108108,-0.631047641297297,-0.661178074310811,-0.605128606994595,0.00174884131081081,-0.0194980071405405,0.0474591556364865,-0.478870317162162,0.234806732690541,-0.506555033202703,0.235545342187297,-0.684026275810811,0.0665919827891892,-0.783608868378378,0.230508841244595,-0.463523442297297,-0.562496629891892,-0.590560474324324,-0.944021446081081,-0.942447808783784,-0.924551738121622,-0.480331233864865,-0.612601925437838,-0.750075402702703,-0.673706039797297,-0.616268607027027,-0.641975349743243,-0.732868499054054,-0.786686903648649,-0.707997556081081,-0.494764061297297,-0.494764061297297,-0.525569499922973,-0.638074798175676,-0.790929437702703,-0.457055879278378,-0.590702187552703,-0.602969615175676,-0.501983421351351,-0.632465553175676,-0.782608421081081,-0.68976205422973,-0.596552021445946,-0.687966192162162,-0.585114086258108,-0.555751340558108,-0.671499843635135,-0.816170215135135
"3","LAYING 11",0.279196164615385,-0.0172943238101923,-0.110972388865385,0.944847352692308,-0.209235443846154,0.137871572269231,0.0796710756942308,0.00878189912884616,0.00239240110769231,-0.0889045637442308,-0.0465857399769231,0.0661024165287404,-0.0860299200403846,-0.0413945408596154,-0.0418552863076923,-0.258388952557692,-0.258388952557692,-0.390976503846154,-0.395038764153846,-0.628249067115385,-0.361656676673077,-0.07826966358,-0.601725760769231,-0.378695008269231,-0.00400013492692308,0.0239573391846154,-0.432289237692308,-0.245768219096154,-0.681773665,-0.376978622884615,-0.44634985,-0.110631268038462,-0.489289017692308,-0.588244671923077,-0.386404966923077,-0.188249670057692,-0.306197433557692,-0.182086207307692,-0.40809743,0.0778501832942308,-0.378287248442308,0.0625439946134615,-0.595538357692308,-0.097415059195,-0.745643290576923,0.0674230683576923,-0.379495091288462,-0.0437366735230769,-0.515313080961538,-0.978960470769231,-0.963063046346154,-0.9565107175,-0.404836907711538,-0.183906787596154,-0.711358342692308,-0.566871362115385,-0.499844302884615,-0.420047382692308,-0.539257309230769,-0.734764480961538,-0.546845771730769,-0.439365282882692,-0.439365282882692,-0.384138583326923,-0.529694238528846,-0.748810783653846,-0.387026126346154,-0.0868021294673077,-0.508654970192308,-0.429450286538462,-0.170810426371154,-0.739979148461538,-0.593012093269231,-0.456431445961538,-0.484902317884615,-0.544892231769231,-0.395661484134615,-0.567638412730769,-0.770967420961538
"4","LAYING 12",0.278551582857143,-0.0200805772619048,-0.107085471214286,0.947586363333333,-0.229860219761905,-0.082755744427619,0.0548563054428571,-0.00173251855238095,-0.0191746348157143,-0.0528419995285714,-0.0607505526642857,0.0820549820238095,-0.0574634565357143,-0.0359973806285714,-0.0625634662,-0.518427192380952,-0.518427192380952,-0.667065694047619,-0.548653201666667,-0.793909894761905,-0.603048386904762,-0.545234075,-0.661015069285714,-0.173103475757143,-0.161185550714286,-0.100187055471429,-0.616613312142857,-0.661361332380952,-0.756027959047619,-0.0170407557380952,-0.281872883761905,-0.187554924047619,-0.637550688095238,-0.720328655952381,-0.607645794285714,-0.22661710627381,-0.239592246647619,-0.3128534875,-0.556403805952381,0.0179794234190476,-0.589243699285714,0.0887624975928571,-0.717066106904762,-0.208673992419048,-0.807547334285714,0.07033963715,-0.583023983333333,-0.46333999452381,-0.57810978802381,-0.966871485238095,-0.948913093809524,-0.92162279952381,-0.607802258571429,-0.652206855476191,-0.781565115714286,-0.682872826714286,-0.695522904047619,-0.50632365452381,-0.743874080714286,-0.823606032857143,-0.765108024285714,-0.544590790238095,-0.544590790238095,-0.59360817452381,-0.649904853809524,-0.80679128452381,-0.576157854285714,-0.458194351811905,-0.569489065,-0.634547593809524,-0.667038913571429,-0.806561959047619,-0.699322818261905,-0.683920931428571,-0.523166719047619,-0.609684035952381,-0.601373924761905,-0.668869938642857,-0.819536251666667
"5","LAYING 13",0.276441417972973,-0.0101769036,-0.10255286492027,0.711906665405405,0.186118731418919,0.0741948358783784,0.074501122427027,0.00289051472504054,-0.0164659815573108,-0.0325096609621622,-0.0847698375,0.0893284074241892,-0.0975489158378378,-0.0405255249635135,-0.0518247372175676,-0.963662199054054,-0.963662199054054,-0.988731852972973,-0.956903880945946,-0.991056006351351,-0.987680582567568,-0.96494486472973,-0.963114255702703,-0.0105839004459459,0.088383981972973,0.1569197056,-0.990881358378378,-0.982785531081081,-0.984817302837838,0.254802840391892,0.0231387046297297,0.0779523542837838,-0.9810943,-0.981198844864865,-0.969713156081081,0.0387920624878378,-0.0594688788513514,0.0632751244778514,-0.962437982472973,0.191940181793243,-0.986785150135135,0.32672383532973,-0.971676628378378,0.0628890418418919,-0.989034016621622,0.125927185027027,-0.987238613378378,-0.950265292702703,-0.949051841756757,-0.978725957297297,-0.963579110945946,-0.946697872702703,-0.990985244594595,-0.982923064054054,-0.98720048445946,-0.983223535540541,-0.979072944864865,-0.968702634054054,-0.989849218108108,-0.989203111216216,-0.989519895810811,-0.947997649864865,-0.947997649864865,-0.986994174459459,-0.962281500540541,-0.988341683648649,-0.987218986216216,-0.946642456527027,-0.945380955675676,-0.991961706621622,-0.984402306621622,-0.988237938378378,-0.983991155135135,-0.978052850135135,-0.971234593648649,-0.948880211081081,-0.986197003648649,-0.962972456621622,-0.987962407972973
"6","LAYING 14",0.245857711481481,-0.0118514663814815,-0.0899313348333333,0.191960562925926,0.255429051185185,0.430692201666667,0.0907233852611111,-0.00666073716666667,-0.0223179548148148,-0.00129951037740741,-0.134074974037037,0.126598080566667,-0.107966956722222,-0.0275870744572037,-0.0495272902407407,-0.773224946851852,-0.773224946851852,-0.871777443888889,-0.776080233518519,-0.897930978703704,-0.856502619814815,-0.797763947777778,-0.802220948148148,-0.409771375388889,-0.155777215283333,-0.0513073891666667,-0.891645490925926,-0.864745893148148,-0.874238741666667,-0.154941543883333,-0.270105010907407,-0.136757514061111,-0.872354550740741,-0.81814422037037,-0.834218328518519,-0.2260015221,-0.329270231025926,-0.0918091311074074,-0.816380557611111,-0.106015396940741,-0.879446023703704,0.152501827377778,-0.826378424259259,-0.201572660453704,-0.904512097592593,0.0951030773333333,-0.835141260259259,-0.754444237333333,-0.728693646658148,-0.891497094259259,-0.94694584962963,-0.905692176111111,-0.887446710740741,-0.858076753333333,-0.884910747592593,-0.88944685462963,-0.77303309042963,-0.807361742222222,-0.899244231296296,-0.894098983703704,-0.901223141666667,-0.77646838962963,-0.77646838962963,-0.874735226666667,-0.783417501296296,-0.90211009537037,-0.827730330240741,-0.748995480592593,-0.713223138587037,-0.893133126111111,-0.860575988703704,-0.894115878148148,-0.895309345185185,-0.751270066654259,-0.817444110185185,-0.792920770555556,-0.868691864444444,-0.793193635555556,-0.906151148148148
"7","LAYING 15",0.273011996634921,-0.0139418287126984,-0.116308716555556,0.895327055238095,0.0372694296031746,0.0488487091904762,0.0800712187936508,-0.00856203877936508,-0.00104475664926984,-0.0188020793396825,-0.0837137508047619,0.0940126892857143,-0.116269415795238,-0.0308313858979365,-0.0572887185047619,-0.75227344171746,-0.75227344171746,-0.836332223809524,-0.776756485809524,-0.914776352857143,-0.793173054126984,-0.763143010873016,-0.854747295873016,-0.104409875385714,0.032432038915873,-0.00604905443968254,-0.82529483968254,-0.830667567936508,-0.920888703015873,0.0765292525812222,-0.115976900666667,-0.0650525851984127,-0.845429965873016,-0.854602434761905,-0.876897263492064,-0.0605903128936508,-0.20846724655873,-0.0488478282777778,-0.780489530809524,0.0799683307333333,-0.820534424444444,0.235769623119048,-0.844514363174603,-0.150302922615873,-0.925385634285714,0.171515139403175,-0.78683100677619,-0.739336775526349,-0.787810245063492,-0.977290670793651,-0.94173795952381,-0.938420252063492,-0.811904214238095,-0.823361874444444,-0.929873396507937,-0.861582708095238,-0.791971089695238,-0.884084649047619,-0.885395564126984,-0.930499200793651,-0.918973248730159,-0.76964884915873,-0.76964884915873,-0.833577736984127,-0.802533565301587,-0.929840662698413,-0.784566852395238,-0.743585010412698,-0.771828735809524,-0.814674771539683,-0.827455024920635,-0.93762493968254,-0.867614158253968,-0.763503422777778,-0.897335216825397,-0.799626805714286,-0.85217744968254,-0.809696381095238,-0.94131359968254
"8","LAYING 16",0.270434486253333,-0.0199005547946667,-0.115775104813333,0.699537329066667,-0.190262039493333,-0.0358107316,0.094786392412,0.00113762158826667,0.00162848329013333,0.0204182257746667,-0.0910509006546667,0.0396126065866667,-0.108025881126667,-0.036313686616,-0.0588056807213333,-0.471863708906667,-0.471863708906667,-0.618215058893333,-0.6185576224,-0.8018673416,-0.567617450401333,-0.557953769586667,-0.539758716953333,-0.335023214576,-0.0270375773533333,0.00650647162666667,-0.632355764666667,-0.6598569896,-0.657828123733333,-0.152255988497333,-0.243343878177467,-0.263312849096,-0.710282986133333,-0.745581728,-0.669178424133333,-0.181953825086667,-0.10159786788,-0.0666365186066667,-0.55244988844,0.06111239824,-0.595028450906667,0.165948307632,-0.756319054533333,-0.00720022827733333,-0.820207620533333,0.138821748514667,-0.533647847452,-0.526216903413333,-0.468619860866667,-0.971797349066667,-0.970840934266667,-0.941837703333333,-0.611873275586667,-0.6434248004,-0.676381254533333,-0.7165072896,-0.747261119733333,-0.639327815173333,-0.805906987733333,-0.811889134933333,-0.7678153188,-0.56160354048,-0.56160354048,-0.602421969252,-0.710296836666667,-0.820430119733333,-0.5215519736904,-0.54090449902,-0.474021306404,-0.625176145866667,-0.649949535066667,-0.693496239066667,-0.722531659466667,-0.7515445168,-0.665128807386667,-0.635798604733333,-0.6148677306,-0.731847764106667,-0.833550914
"9","LAYING 17",0.270446347703704,-0.0176163421611111,-0.108937991055556,0.190121207962963,0.366571270592593,0.485677680601852,0.0794777688814815,0.00919138871481481,0.00289044524425926,-0.0316087727241482,-0.089577124387037,0.102877650474074,-0.100748025685185,-0.0363127966851852,-0.0583981096259259,-0.947234916666667,-0.947234916666667,-0.980355104814815,-0.947475853888889,-0.984008881481481,-0.97348129037037,-0.947405143333333,-0.959201084259259,-0.0916177559018519,0.0413582480666667,0.0797452462092593,-0.98082828037037,-0.974756868148148,-0.978942013518519,0.182335181522222,-0.0112400894824074,0.0274563732537037,-0.968650772592593,-0.970131373148148,-0.966644807037037,0.0630070565277778,0.0195906535925926,0.138668218031481,-0.953447730925926,-0.0351860295185185,-0.977759703148148,0.345833382703704,-0.962610308148148,-0.03072404371,-0.980753237222222,0.282491368592593,-0.971936608518518,-0.934908839814815,-0.944821203703704,-0.959880855185185,-0.952146842777778,-0.946265854259259,-0.980934388703704,-0.974489899074074,-0.981549843333333,-0.97330455462963,-0.968395924074074,-0.966898446666667,-0.97954469962963,-0.981559758703704,-0.984691611111111,-0.939274604074074,-0.939274604074074,-0.977914685925926,-0.951290911111111,-0.979761005740741,-0.971371516851852,-0.932359377592593,-0.94099363462963,-0.982830880555556,-0.976042862222222,-0.982786880925926,-0.974862160925926,-0.967827342777778,-0.970063474074074,-0.940840163703704,-0.97707880537037,-0.952375826666667,-0.979603064074074
"10","LAYING 18",0.27466782475,-0.0177722114135,-0.105222617775,0.30282792425,0.302712044375,0.264188024925,0.074607552875,0.02550495982375,0.00352148662375,-0.035840850623125,-0.069761547332,0.09298681239875,-0.0970532909025,-0.04570580596125,-0.0531906471,-0.676725019375,-0.676725019375,-0.71922718575,-0.7678207295,-0.834085249,-0.71231271975,-0.663226219125,-0.759925612875,-0.1989009018835,0.1784756878925,0.170197102230512,-0.732608244875,-0.717522005375,-0.814412845875,-0.06537722806,-0.104910144027125,-0.02705869044625,-0.82587708025,-0.798371753625,-0.787924836875,0.05138486668125,-0.15510218289625,0.0097764283475,-0.736093434125,0.2692057143,-0.735449325125,0.261720498075,-0.819684386125,0.1965765112825,-0.863882669625,0.32417678385875,-0.714846706,-0.6548841183,-0.7302113495,-0.98418054525,-0.98485942025,-0.981338365,-0.71042741025,-0.6998484295,-0.829421886375,-0.86751270475,-0.766395026875,-0.771841877125,-0.815371654125,-0.855963851625,-0.8438275605,-0.750365690625,-0.750365690625,-0.740767637625,-0.81429179575,-0.87177834925,-0.716016299625,-0.671846331625,-0.734790747125,-0.713205080375,-0.700767558875,-0.84306766275,-0.880910024875,-0.7511214195,-0.787966661,-0.797200306625,-0.748895809625,-0.843203764625,-0.892398176375
